,0,1,2,3,4
0,0,7,7,7,1
1,0,7,7,7,1
2,0,7,7,6,1
3,0,7,7,5,1
4,0,6,7,4,2
5,1,5,7,3,1
6,1,4,7,2,1
7,1,3,7,1,1
8,1,2,6,0,1
9,1,1,5,3,1
10,1,0,4,2,1
11,1,7,3,1,0
12,0,6,2,0,1
13,0,5,1,3,1
14,0,4,0,2,1
15,0,3,7,1,2
16,1,2,7,0,1
17,1,1,7,5,1
18,1,0,6,4,1
19,1,1,5,3,1
20,1,0,4,2,1
21,1,5,3,1,0
22,0,4,2,0,1
23,0,3,1,7,1
24,0,2,0,7,2
25,1,1,7,7,1
26,1,0,7,7,1
27,1,1,7,7,1
28,1,0,6,7,2
29,2,1,5,7,1
30,2,0,4,7,1
31,2,1,3,7,1
32,2,0,2,6,1
33,2,7,1,5,1
34,2,7,0,4,0
35,1,7,1,3,0
36,0,6,0,2,1
37,0,5,3,1,1
38,0,4,2,0,1
39,0,3,1,7,1
40,0,2,0,6,2
41,1,1,3,5,2
42,2,0,2,4,1
43,2,7,1,3,1
44,2,6,0,2,0
45,1,5,7,1,1
46,1,4,7,0,1
47,1,3,7,1,1
48,1,2,7,0,1
49,1,1,7,3,1
50,1,0,7,2,1
51,1,3,7,1,1
52,1,2,7,0,1
53,1,1,7,5,1
54,1,0,7,4,1
55,1,1,7,3,1
56,1,0,7,2,1
57,1,3,7,1,1
58,1,2,6,0,1
59,1,1,5,3,1
60,1,0,4,2,1
61,1,7,3,1,0
62,0,7,2,0,1
63,0,7,1,3,1
64,0,7,0,2,1
65,0,7,7,1,1
66,0,6,7,0,2
67,1,5,7,1,1
68,1,4,7,0,1
69,1,3,7,1,1
70,1,2,7,0,1
71,1,1,7,5,1
72,1,0,7,4,1
73,1,1,7,3,1
74,1,0,6,2,1
75,1,3,5,1,1
76,1,2,4,0,1
77,1,1,3,7,2
78,2,0,2,7,1
79,2,3,1,7,1
80,2,2,0,7,1
81,2,1,7,7,0
82,1,0,7,7,1
83,1,1,7,7,1
84,1,0,6,7,2
85,2,1,5,7,1
86,2,0,4,7,1
87,2,1,3,7,1
88,2,0,2,7,1
89,2,7,1,7,1
90,2,7,0,6,0
91,1,7,1,5,0
92,0,7,0,4,1
93,0,7,1,3,1
94,0,7,0,2,1
95,0,7,5,1,1
96,0,7,4,0,1
97,0,7,3,1,1
98,0,7,2,0,1
99,0,7,1,3,1
100,0,6,0,2,1
101,0,5,3,1,1
102,0,4,2,0,1
103,0,3,1,7,1
104,0,2,0,7,2
105,1,1,3,7,2
106,2,0,2,6,1
107,2,3,1,5,1
108,2,2,0,4,1
109,2,1,7,3,0
110,1,0,7,2,1
111,1,3,7,1,1
112,1,2,7,0,1
113,1,1,7,3,1
114,1,0,7,2,1
115,1,3,7,1,1
116,1,2,7,0,1
117,1,1,7,3,1
118,1,0,7,2,1
119,1,5,7,1,1
120,1,4,7,0,1
121,1,3,7,1,1
122,1,2,7,0,1
123,1,1,7,5,1
124,1,0,7,4,1
125,1,1,7,3,1
126,1,0,6,2,1
127,1,3,5,1,1
128,1,2,4,0,1
129,1,1,3,7,2
130,2,0,2,6,1
131,2,3,1,5,1
132,2,2,0,4,1
133,2,1,7,3,0
134,1,0,7,2,1
135,1,5,7,1,1
136,1,4,6,0,1
137,1,3,5,1,1
138,1,2,4,0,1
139,1,1,3,7,2
140,2,0,2,6,1
141,2,3,1,5,1
142,2,2,0,4,1
143,2,1,7,3,0
144,1,0,6,2,1
145,1,7,5,1,0
146,0,7,4,0,1
147,0,7,3,1,1
148,0,7,2,0,1
149,0,7,1,3,1
150,0,6,0,2,1
151,0,5,7,1,2
152,1,4,7,0,1
153,1,3,7,1,1
154,1,2,7,0,1
155,1,1,7,3,1
156,1,0,7,2,1
157,1,3,7,1,1
158,1,2,7,0,1
159,1,1,7,7,1
160,1,0,6,7,2
161,2,1,5,7,1
162,2,0,4,7,1
163,2,1,3,7,1
164,2,0,2,6,1
165,2,7,1,5,1
166,2,7,0,4,0
167,1,7,1,3,0
168,0,7,0,2,1
169,0,7,5,1,1
170,0,6,4,0,1
171,0,5,3,1,1
172,0,4,2,0,1
173,0,3,1,5,1
174,0,2,0,4,2
175,1,1,5,3,1
176,1,0,4,2,1
177,1,5,3,1,0
178,0,4,2,0,1
179,0,3,1,5,1
180,0,2,0,4,2
181,1,1,7,3,1
182,1,0,6,2,1
183,1,7,5,1,0
184,0,7,4,0,1
185,0,7,3,1,1
186,0,6,2,0,1
187,0,5,1,7,1
188,0,4,0,6,2
189,1,3,1,5,2
190,2,2,0,4,1
191,2,1,7,3,0
192,1,0,7,2,1
193,1,3,7,1,1
194,1,2,7,0,1
195,1,1,7,7,1
196,1,0,7,7,1
197,1,1,7,7,1
198,1,0,7,7,1
199,1,1,7,7,1
200,1,0,6,7,2
201,2,1,5,7,1
202,2,0,4,6,1
203,2,1,3,5,1
204,2,0,2,4,1
205,2,7,1,3,1
206,2,7,0,2,0
207,1,7,5,1,0
208,0,6,4,0,1
209,0,5,3,1,1
210,0,4,2,0,1
211,0,3,1,5,1
212,0,2,0,4,2
213,1,1,7,3,1
214,1,0,7,2,1
215,1,3,7,1,1
216,1,2,7,0,1
217,1,1,7,5,1
218,1,0,7,4,1
219,1,1,7,3,1
220,1,0,6,2,1
221,1,7,5,1,0
222,0,7,4,0,1
223,0,7,3,1,1
224,0,7,2,0,1
225,0,7,1,3,1
226,0,7,0,2,1
227,0,7,3,1,1
228,0,7,2,0,1
229,0,7,1,3,1
230,0,7,0,2,1
231,0,7,7,1,1
232,0,6,7,0,2
233,1,5,7,1,1
234,1,4,7,0,1
235,1,3,7,1,1
236,1,2,7,0,1
237,1,1,7,3,1
238,1,0,7,2,1
239,1,7,7,1,0
240,0,7,7,0,1
241,0,7,7,1,1
242,0,7,6,0,1
243,0,7,5,1,1
244,0,7,4,0,1
245,0,7,3,1,1
246,0,7,2,0,1
247,0,7,1,3,1
248,0,7,0,2,1
249,0,7,3,1,1
250,0,7,2,0,1
251,0,7,1,3,1
252,0,7,0,2,1
253,0,7,3,1,1
254,0,7,2,0,1
255,0,7,1,5,1
256,0,6,0,4,1
257,0,5,1,3,1
258,0,4,0,2,1
259,0,3,7,1,2
260,1,2,7,0,1
261,1,1,7,5,1
262,1,0,6,4,1
263,1,1,5,3,1
264,1,0,4,2,1
265,1,7,3,1,0
266,0,7,2,0,1
267,0,7,1,7,1
268,0,7,0,7,1
269,0,7,1,7,1
270,0,7,0,6,1
271,0,7,1,5,1
272,0,6,0,4,1
273,0,5,1,3,1
274,0,4,0,2,1
275,0,3,7,1,2
276,1,2,7,0,1
277,1,1,7,3,1
278,1,0,7,2,1
279,1,3,7,1,1
280,1,2,7,0,1
281,1,1,7,5,1
282,1,0,6,4,1
283,1,1,5,3,1
284,1,0,4,2,1
285,1,7,3,1,0
286,0,7,2,0,1
287,0,7,1,3,1
288,0,7,0,2,1
289,0,7,7,1,1
290,0,6,7,0,2
291,1,5,7,1,1
292,1,4,7,0,1
293,1,3,7,1,1
294,1,2,6,0,1
295,1,1,5,3,1
296,1,0,4,2,1
297,1,5,3,1,0
298,0,4,2,0,1
299,0,3,1,7,1
300,0,2,0,7,2
301,1,1,5,7,2
302,2,0,4,7,1
303,2,1,3,7,1
304,2,0,2,7,1
305,2,5,1,7,1
306,2,4,0,6,1
307,2,3,1,5,1
308,2,2,0,4,1
309,2,1,7,3,0
310,1,0,7,2,1
311,1,3,7,1,1
312,1,2,7,0,1
313,1,1,7,3,1
314,1,0,6,2,1
315,1,3,5,1,1
316,1,2,4,0,1
317,1,1,3,5,2
318,2,0,2,4,1
319,2,7,1,3,1
320,2,7,0,2,0
321,1,7,5,1,0
322,0,6,4,0,1
323,0,5,3,1,1
324,0,4,2,0,1
325,0,3,1,7,1
326,0,2,0,7,2
327,1,1,5,7,2
328,2,0,4,6,1
329,2,1,3,5,1
330,2,0,2,4,1
331,2,7,1,3,1
332,2,7,0,2,0
333,1,7,5,1,0
334,0,7,4,0,1
335,0,7,3,1,1
336,0,6,2,0,1
337,0,5,1,3,1
338,0,4,0,2,1
339,0,3,7,1,2
340,1,2,7,0,1
341,1,1,7,3,1
342,1,0,7,2,1
343,1,3,7,1,1
344,1,2,6,0,1
345,1,1,5,3,1
346,1,0,4,2,1
347,1,5,3,1,0
348,0,4,2,0,1
349,0,3,1,5,1
350,0,2,0,4,2
351,1,1,7,3,1
352,1,0,7,2,1
353,1,3,7,1,1
354,1,2,7,0,1
355,1,1,7,5,1
356,1,0,6,4,1
357,1,1,5,3,1
358,1,0,4,2,1
359,1,7,3,1,0
360,0,6,2,0,1
361,0,5,1,3,1
362,0,4,0,2,1
363,0,3,7,1,2
364,1,2,7,0,1
365,1,1,7,3,1
366,1,0,7,2,1
367,1,3,7,1,1
368,1,2,6,0,1
369,1,1,5,3,1
370,1,0,4,2,1
371,1,5,3,1,0
372,0,4,2,0,1
373,0,3,1,7,1
374,0,2,0,7,2
375,1,1,3,7,2
376,2,0,2,7,1
377,2,5,1,7,1
378,2,4,0,6,1
379,2,3,1,5,1
380,2,2,0,4,1
381,2,1,7,3,0
382,1,0,7,2,1
383,1,5,7,1,1
384,1,4,6,0,1
385,1,3,5,1,1
386,1,2,4,0,1
387,1,1,3,7,2
388,2,0,2,7,1
389,2,7,1,7,1
390,2,6,0,7,1
391,2,5,1,7,1
392,2,4,0,6,1
393,2,3,1,5,1
394,2,2,0,4,1
395,2,1,7,3,0
396,1,0,7,2,1
397,1,3,7,1,1
398,1,2,6,0,1
399,1,1,5,3,1
400,1,0,4,2,1
401,1,5,3,1,0
402,0,4,2,0,1
403,0,3,1,7,1
404,0,2,0,7,2
405,1,1,5,7,2
406,2,0,4,7,1
407,2,1,3,7,1
408,2,0,2,7,1
409,2,5,1,7,1
410,2,4,0,7,1
411,2,3,1,7,1
412,2,2,0,7,1
413,2,1,3,7,1
414,2,0,2,6,1
415,2,7,1,5,1
416,2,6,0,4,0
417,1,5,1,3,0
418,0,4,0,2,1
419,0,3,7,1,2
420,1,2,7,0,1
421,1,1,7,7,1
422,1,0,7,7,1
423,1,1,7,7,1
424,1,0,6,7,2
425,2,1,5,7,1
426,2,0,4,6,1
427,2,1,3,5,1
428,2,0,2,4,1
429,2,5,1,3,1
430,2,4,0,2,0
431,1,3,7,1,1
432,1,2,6,0,1
433,1,1,5,7,2
434,2,0,4,7,1
435,2,1,3,7,1
436,2,0,2,7,1
437,2,3,1,7,1
438,2,2,0,6,1
439,2,1,7,5,0
440,1,0,7,4,1
441,1,1,7,3,1
442,1,0,7,2,1
443,1,3,7,1,1
444,1,2,7,0,1
445,1,1,7,7,1
446,1,0,7,7,1
447,1,1,7,7,1
448,1,0,6,7,2
449,2,1,5,7,1
450,2,0,4,7,1
451,2,1,3,7,1
452,2,0,2,7,1
453,2,3,1,7,1
454,2,2,0,6,1
455,2,1,3,5,1
456,2,0,2,4,1
457,2,7,1,3,1
458,2,6,0,2,0
459,1,5,7,1,1
460,1,4,6,0,1
461,1,3,5,1,1
462,1,2,4,0,1
463,1,1,3,7,2
464,2,0,2,7,1
465,2,7,1,7,1
466,2,7,0,6,0
467,1,7,1,5,0
468,0,7,0,4,1
469,0,7,1,3,1
470,0,7,0,2,1
471,0,7,3,1,1
472,0,7,2,0,1
473,0,7,1,3,1
474,0,7,0,2,1
475,0,7,5,1,1
476,0,7,4,0,1
477,0,7,3,1,1
478,0,6,2,0,1
479,0,5,1,7,1
480,0,4,0,7,2
481,1,3,1,7,2
482,2,2,0,6,1
483,2,1,3,5,1
484,2,0,2,4,1
485,2,7,1,3,1
486,2,7,0,2,0
487,1,7,7,1,0
488,0,7,7,0,1
489,0,7,7,1,1
490,0,7,6,0,1
491,0,7,5,1,1
492,0,7,4,0,1
493,0,7,3,1,1
494,0,6,2,0,1
495,0,5,1,7,1
496,0,4,0,7,2
497,1,3,1,7,2
498,2,2,0,6,1
499,2,1,7,5,0
500,1,0,7,4,1
501,1,1,7,3,1
502,1,0,6,2,1
503,1,7,5,1,0
504,0,7,4,0,1
505,0,7,3,1,1
506,0,7,2,0,1
507,0,7,1,3,1
